id,Kropki,Kreski,Robaki,Artefakty
4572480,0,0.8,0.2,0
4573780,0.8,0,0,0
4572928,0,0,0.6,0.2
7645347,1,0,0,0
4574373,0,0.8,0.2,0
7617577,0.8,0,0.2,0
4574547,0,1,0,0
5046545,0,0.4,0,0
4574955,0,0,0.2,0
7647651,0.6,0,0.2,0
4574980,0,0.8,0.2,0
5936370,1,0,0,0
4575693,0,0.8,0.2,0
6163008,1,0,0,0
4576247,0,0.8,0.2,0
5238662,0,0.8,0.2,0
4580817,0,1,0,0
6753691,1,0,0,0
4581195,0,0.8,0,0
4849101,1,0,0,0
4581963,0,0.8,0.2,0
7709046,1,0,0,0
4586587,0,0.2,0.8,0
8026410,0.8,0,0,0
4590599,0,0.6,0.2,0
4711321,0,0.6,0,0
4595686,0,1,0,0
7350138,0.6,0.2,0,0
4599695,0,1,0,0
5872922,0.6,0.2,0,0
4601127,0,1,0,0
9434509,0.8,0,0,0
4603837,0,1,0,0
9487210,1,0,0,0
4603997,0,0.4,0.4,0
9144122,0.6,0,0,0.2
4608937,0,0.8,0,0
8492018,0.8,0,0,0
4611602,0.2,0.6,0,0
7879652,0.6,0,0,0.2
4612600,0,0.2,0.6,0
9146616,1,0,0,0
4612613,0,0.8,0,0
4843369,0,0.2,0.6,0
4614793,0,0,1,0
9556699,0,0,0.2,0.2
4619251,0,0.8,0.2,0
7619061,0,0.6,0,0.2
4620478,0,0.8,0.2,0
9222783,0,0,0,0.2
4630486,0,1,0,0
5918294,0,0.4,0.4,0
4636757,0,0.2,0.8,0
6687008,0.2,0.4,0,0
4640374,0,1,0,0
5461038,0.8,0,0,0
4643194,0,1,0,0
7515896,1,0,0,0
4645337,0,0,0,0.2
5224130,0.4,0.4,0,0
4648736,0,0.2,0.2,0
6941040,0.8,0,0,0
4649170,0,0.8,0,0
16294326,1,0,0,0
4650729,0,0.8,0,0
7646104,1,0,0,0
4651627,0,0.8,0,0
9532524,1,0,0,0
4653760,0,0.8,0.2,0
8472534,0.8,0,0,0
4654728,0,0.8,0,0
6914758,0.8,0,0,0
4654744,0,0.4,0.6,0
5200287,1,0,0,0
4590342,1,0,0,0
4655614,0,1,0,0
4602822,0.6,0.2,0,0
4658948,0,0,1,0
4659129,0,0.8,0.2,0
6161965,0.2,0,0.2,0
4659717,0,0.8,0.2,0
5174824,0.8,0,0,0
4660572,0,1,0,0
8460735,1,0,0,0
4670338,0,0.8,0,0
8461708,0,0,0.2,0.2
4695081,0,0,0.4,0
7873333,0.6,0.2,0,0.2
4703509,0,0.8,0.2,0
9514609,1,0,0,0
4704997,0,0,0.2,0
7471756,0,0.6,0.4,0
4705371,0,1,0,0
6161745,0.8,0,0,0
4601279,1,0,0,0
4705446,0,1,0,0
4705690,0,0.2,0,0
5237895,1,0,0,0
4710374,0,0,0.6,0.2
6483724,1,0,0,0
4711052,0,0.4,0,0.4
4974739,1,0,0,0
4711435,0,1,0,0
6162275,0.8,0.2,0,0
4711615,0,1,0,0
7290525,0,0,0.4,0
4714662,0,1,0,0
4885075,0,0,0.4,0
4714801,0,1,0,0
6951135,1,0,0,0
4715376,0,0,0.8,0
16294081,1,0,0,0
4715889,0,1,0,0
6813461,0,0,0.2,0
4716581,0,0,0,0.4
5759766,0.8,0.2,0,0
4717858,0,0.2,0.6,0.2
9545280,0,0.2,0.8,0
4718585,0,0,0.8,0.2
7548975,1,0,0,0
4719170,0,0,0.2,0.2
8491587,0.4,0,0.2,0
4719198,0,0.8,0,0.2
6162472,1,0,0,0
4719421,0.4,0,0,0
9124308,1,0,0,0
4719561,0,1,0,0
5027164,0,1,0,0
4724763,0,1,0,0
4948029,1,0,0,0
4727596,0,0,0.2,0.2
9314813,0.2,0.8,0,0
4730195,0,1,0,0
6230405,0.2,0.4,0.4,0
4731298,0,1,0,0
5510445,0.8,0,0,0.2
4735788,0,0.6,0.4,0
5186927,0.8,0,0,0.2
4736955,0,0.6,0,0
6788361,0,0.8,0.2,0
4743535,0.2,0,0.2,0.2
9438261,0,1,0,0
4746363,0,1,0,0
6860670,0,0.6,0.2,0.2
4747225,0,0.8,0.2,0
6216293,1,0,0,0
4747616,0,0.6,0.4,0
7056252,0,0,0.4,0
4750707,0,0.2,0.2,0.2
8462103,0,0.6,0.2,0
4751536,0,1,0,0
8280225,1,0,0,0
4752591,0,1,0,0
6161717,0.6,0,0,0.2
4756084,0,0.8,0,0
9375119,1,0,0,0
4756452,0.4,0,0.2,0
6046270,1,0,0,0
4756987,0,0.8,0,0
6900008,1,0,0,0
4757824,0,0,0.8,0.2
7929744,1,0,0,0
4762857,0,1,0,0
4898520,0,0.2,0.6,0
4777234,0,0.6,0.2,0
7027528,1,0,0,0
4782497,0,1,0,0
4829148,1,0,0,0
4783115,0,1,0,0
6842460,0,0,0.6,0
4793094,0,0.4,0.2,0.2
5923208,0.6,0.2,0,0
4803608,0,0.8,0,0
9285297,1,0,0,0
4805124,0,0.8,0.2,0
8499254,1,0,0,0
4710624,0,0.6,0.2,0
4807049,0,1,0,0
4808374,0,0.6,0,0
6471219,1,0,0,0
4811779,0,1,0,0
8072358,0.4,0.2,0.2,0.2
4811930,0,1,0,0
6908989,0.4,0,0.6,0
4812413,0.4,0,0,0
7621416,1,0,0,0
4814184,0,0.8,0,0
6305942,1,0,0,0
4815997,0,1,0,0
5894847,0,0.4,0.6,0
4819239,0,1,0,0
7261327,0.8,0,0,0
4841778,0,1,0,0
8460547,0,0.2,0.2,0
4841781,0.4,0,0,0
8535856,0,0,0.4,0
4841857,0,0.4,0.2,0
7396705,0.8,0,0,0.2
4842140,0,0,0.6,0.2
7322931,1,0,0,0
4847295,0,1,0,0
5355566,0.2,0,0,0.2
4847576,0,0.2,0.6,0.2
5011278,1,0,0,0
4813841,1,0,0,0
4847592,0,0.8,0.2,0
4847607,0,1,0,0
9247922,0.6,0,0,0.2
4847609,0,0.8,0.2,0
4909735,0.8,0,0,0
4847648,0,0,1,0
9508827,0.8,0,0,0.2
4848444,0,0.4,0.6,0
5965781,1,0,0,0
4848460,0,1,0,0
9426226,0.2,0,0.2,0
4848469,0,1,0,0
4900589,1,0,0,0
4848476,0,1,0,0
4887097,0.8,0,0,0.2
4848483,0,1,0,0
8461058,0.8,0,0,0.2
4848490,0,0.8,0,0.2
7546733,0.8,0,0,0.2
4848789,0,0,1,0
7961777,0.8,0,0,0.2
4643742,0.8,0,0,0.2
4849820,0,0,0.8,0
4863896,0,0.6,0.4,0
5889604,0,0.6,0.4,0
4865194,0.2,0,0.4,0
9129256,0,1,0,0
4876475,0,1,0,0
6583405,0.8,0,0,0.2
4876535,0,1,0,0
6025613,0.8,0,0,0.2
4880566,0,1,0,0
6229582,0,0.8,0,0.2
4892405,0,1,0,0
6161847,0.8,0,0,0.2
4893038,0,0,0.8,0
4902389,0.6,0.2,0,0.2
4894842,0,0,0.8,0
16295230,0,1,0,0
4896045,0,0.4,0.6,0
7137000,1,0,0,0
4898318,0,0.6,0.2,0
6879334,0,0.4,0.6,0
4899178,0,0,0.8,0
5200999,0,0,0.2,0
4899235,0,0,0.8,0
6998185,0,0.8,0.2,0
4807911,1,0,0,0
4899253,0,0.6,0.2,0
4900769,0,0.2,0,0
7577097,0.8,0,0,0.2
4902651,0,0,1,0
6900022,0,0.6,0.4,0
4907893,0,0.8,0,0
6918241,0.2,0,0,0
4909807,0.4,0,0.2,0
4963027,1,0,0,0
4911378,0,1,0,0
5044521,0.4,0.4,0.2,0
4913621,0,0,1,0
7744565,1,0,0,0
4914361,0.4,0,0,0
8461616,1,0,0,0
4914938,0,1,0,0
7138339,0,0,0,0
4919901,0,0.2,0.6,0
4923669,0.8,0,0,0.2
4920311,0,0,0.8,0
4975751,0.8,0,0,0.2
4922063,0,0.4,0.6,0
7140153,0,0,0.4,0
4922097,0,0,0.2,0
5967593,0,0.8,0.2,0
4922346,0,0.8,0.2,0
7662336,0.8,0,0,0.2
4923628,0,0.8,0.2,0
9512975,0.8,0,0,0
4923639,0,1,0,0
6774416,0,0,0.8,0
4926819,0,0,0.4,0
4949271,1,0,0,0
4929379,0,0.8,0,0
6310652,0,0.6,0.4,0
4930462,0.2,0,0,0
8509556,0.6,0.2,0,0
4932392,0,0.6,0,0
6773517,1,0,0,0
4935915,0,1,0,0
7779266,0,0,0.2,0
4936589,0,1,0,0
8109569,0.8,0,0,0.2
4941090,0,1,0,0
9493762,1,0,0,0
4941747,0,0.4,0.6,0
9594677,0.8,0,0,0.2
4949081,0,0,1,0
5717352,0.8,0,0,0.2
4962365,0,0.8,0.2,0
7490756,0.8,0,0,0.2
4964175,0,1,0,0
16294507,1,0,0,0
4969155,0,0.8,0,0
7675299,0.8,0,0,0.2
4969538,0,1,0,0
7603339,1,0,0,0
4971805,0,1,0,0
5599405,0.4,0.2,0.2,0
4945902,0,0.2,0.2,0
4973356,0,1,0,0
4973980,0,1,0,0
6906534,0.8,0,0,0.2
4975771,0,0.8,0.2,0
5937455,1,0,0,0
4976474,0,1,0,0
9307071,0,0,0.2,0
4977847,0,1,0,0
5390875,1,0,0,0
4981401,0,0.4,0.4,0
6317043,1,0,0,0
4981588,0,0,0.6,0
5671127,0,0.4,0.2,0
4983039,0,0.8,0,0
9505898,0,0.2,0.6,0
4985463,0.4,0,0,0
9336929,1,0,0,0
4985573,0.2,0,0.4,0
8474063,1,0,0,0
4986830,0,0,0.8,0
5279277,1,0,0,0
4814174,1,0,0,0
4987786,0,0,0.8,0
4988327,0,1,0,0
7213761,0,0.6,0,0
4586212,1,0,0,0
4988923,0,0.6,0,0
4601128,1,0,0,0
5002926,0,0.4,0.4,0
5009639,0,1,0,0
6997502,0,0.8,0.2,0
5010683,0,0,0.8,0
5886830,0.4,0,0,0
4983124,0,0,1,0
5012636,0.2,0,0,0
5015282,0,1,0,0
7470832,0,0.8,0.2,0
5018290,0,0.4,0.6,0
7402961,0.4,0.4,0,0
5019964,0,0,1,0
9285313,0,0.4,0.6,0
5020549,0,0.8,0.2,0
6909638,0,0.2,0.4,0
5020578,0,0,0.8,0
6641425,1,0,0,0
4715654,1,0,0,0
5020768,0,0.2,0.6,0
5021049,0,0,0.6,0
7744612,0,1,0,0
5022457,0,0.6,0.2,0
9321710,0.8,0.2,0,0
5022549,0,0.6,0,0.4
6782944,0,0,0.2,0
